Column,Missing_Count,Missing_Percentage
Type,0,0.0
Days for shipment (scheduled),0,0.0
Benefit per order,0,0.0
Sales per customer,0,0.0
Category Name,0,0.0
Customer City,0,0.0
Customer Country,0,0.0
Customer Segment,0,0.0
Customer State,0,0.0
Department Name,0,0.0
Latitude,0,0.0
Longitude,0,0.0
Market,0,0.0
Order City,0,0.0
Order Country,0,0.0
Order Item Discount,0,0.0
Order Item Discount Rate,0,0.0
Order Item Product Price,0,0.0
Order Item Profit Ratio,0,0.0
Order Item Quantity,0,0.0
Sales,0,0.0
Order Item Total,0,0.0
Order Profit Per Order,0,0.0
Order Region,0,0.0
Order State,0,0.0
Order Status,0,0.0
Product Category Id,0,0.0
Product Name,0,0.0
Product Price,0,0.0
Shipping Mode,0,0.0
Order_Year,0,0.0
Order_Month,0,0.0
Order_DayOfWeek,0,0.0
Order_Day,0,0.0
Late_delivery_risk,0,0.0
