Column,Q1,Q3,IQR,Lower_Bound,Upper_Bound,Outlier_Count,Outlier_Percentage
Days for shipping (real),2.0,5.0,3.0,-2.5,9.5,0,0.0
Days for shipment (scheduled),2.0,4.0,2.0,-1.0,7.0,0,0.0
Benefit per order,7.0,64.80000305,57.80000305,-79.70000457500001,151.50000762500002,18942,10.493078290927825
Sales per customer,104.3799973,247.3999939,143.0199966,-110.14999760000002,461.92998880000005,1943,1.0763409945767481
Late_delivery_risk,0.0,1.0,1.0,-1.5,2.5,0,0.0
Category Id,18.0,45.0,27.0,-22.5,85.5,0,0.0
Customer Id,3258.5,9779.0,6520.5,-6522.25,19559.75,1198,0.6636420542989935
Customer Zipcode,725.0,78207.0,77482.0,-115498.0,194430.0,0,0.0
Department Id,4.0,7.0,3.0,-0.5,11.5,362,0.20053290789335196
Latitude,18.26543236,39.27961731,21.01418495,-13.255845065000003,70.800894735,9,0.004985624781878916
Longitude,-98.44631195,-66.37058258,32.07572936999999,-146.559906005,-18.25698852500002,1414,0.7832970490640875
Order Customer Id,3258.5,9779.0,6520.5,-6522.25,19559.75,1198,0.6636420542989935
Order Id,18057.0,54144.0,36087.0,-36073.5,108274.5,0,0.0
Order Item Cardprod Id,403.0,1004.0,601.0,-498.5,1905.5,0,0.0
Order Item Discount,5.400000095,29.98999977,24.589999675,-31.484999417500003,66.8749992825,7537,4.175183775669043
Order Item Discount Rate,0.039999999,0.159999996,0.119999997,-0.1399999965,0.33999999150000004,0,0.0
Order Item Id,45130.5,135389.5,90259.0,-90258.0,270778.0,0,0.0
Order Item Product Price,50.0,199.9900055,149.9900055,-174.98500825,424.97501375,2048,1.1345066170320022
Order Item Profit Ratio,0.079999998,0.360000014,0.28000001599999996,-0.3400000259999999,0.7800000379999998,17300,9.583478747389472
Order Item Quantity,1.0,3.0,2.0,-2.0,6.0,0,0.0
Sales,119.9800034,299.9500122,179.97000880000002,-149.97500980000007,569.9050254000001,488,0.27033165483965677
Order Item Total,104.3799973,247.3999939,143.0199966,-110.14999760000002,461.92998880000005,1943,1.0763409945767481
Order Profit Per Order,7.0,64.80000305,57.80000305,-79.70000457500001,151.50000762500002,18942,10.493078290927825
Order Zipcode,23464.0,90008.0,66544.0,-76352.0,189824.0,0,0.0
Product Card Id,403.0,1004.0,601.0,-498.5,1905.5,0,0.0
Product Category Id,18.0,45.0,27.0,-22.5,85.5,0,0.0
Product Price,50.0,199.9900055,149.9900055,-174.98500825,424.97501375,2048,1.1345066170320022
Product Status,0.0,0.0,0.0,0.0,0.0,0,0.0
